Date,Beaver Spring (09N05) Snow Depth (cm) Start of Month Values,Beaver Spring (09N05) Snow Water Equivalent (mm) Start of Month Values,Bowl Canyon (08N04) Snow Depth (cm) Start of Month Values,Bowl Canyon (08N04) Snow Water Equivalent (mm) Start of Month Values,Fluted Rock (09P01) Snow Depth (cm) Start of Month Values,Fluted Rock (09P01) Snow Water Equivalent (mm) Start of Month Values,Missionary Spring (08N06) Snow Depth (cm) Start of Month Values,Missionary Spring (08N06) Snow Water Equivalent (mm) Start of Month Values,Tsaile Canyon #1 (09N02) Snow Depth (cm) Start of Month Values,Tsaile Canyon #1 (09N02) Snow Water Equivalent (mm) Start of Month Values,Tsaile Canyon #3 (09N04) Snow Depth (cm) Start of Month Values,Tsaile Canyon #3 (09N04) Snow Water Equivalent (mm) Start of Month Values,Whiskey Creek (08N03) Snow Depth (cm) Start of Month Values,Whiskey Creek (08N03) Snow Water Equivalent (mm) Start of Month Values
Feb-08,99,259,94,208,46,99,46,97,69,137,89,229,97,244
Mar-08,130,394,127,335,71,188,69,190,89,196,109,312,127,363
Apr-08,,,66,244,0,0,0,0,28,99,51,190,71,287
May-08,,,,,,,,,,,,,,
Jun-08,,,,,,,,,,,,,,
Jul-08,,,,,,,,,,,,,,
Aug-08,,,,,,,,,,,,,,
Sep-08,,,,,,,,,,,,,,
Oct-08,,,,,,,,,,,,,,
Nov-08,,,,,,,,,,,,,,
Dec-08,,,,,,,,,,,,,,
Jan-09,84,236,84,224,41,97,56,160,71,173,91,218,97,284
Feb-09,71,254,69,231,23,76,30,117,51,170,71,239,69,241
Mar-09,,,74,259,20,94,23,104,,,,,89,323
Apr-09,,,56,198,5,8,5,5,18,46,41,157,69,239
May-09,,,,,,,,,,,,,,
Jun-09,,,,,,,,,,,,,,
Jul-09,,,,,,,,,,,,,,
Aug-09,,,,,,,,,,,,,,
Sep-09,,,,,,,,,,,,,,
Oct-09,,,,,,,,,,,,,,
Nov-09,,,,,,,,,,,,,,
Dec-09,,,,,,,,,,,,,,
Jan-10,,,48,102,23,41,30,61,46,99,,,58,157
Feb-10,122,358,127,282,81,183,84,198,114,302,119,307,127,348
Mar-10,145,442,135,396,79,203,94,272,132,384,152,417,137,432
Apr-10,112,434,99,363,38,147,38,152,94,361,109,419,107,396
May-10,,,,,,,,,,,,,,
Jun-10,,,,,,,,,,,,,,
Jul-10,,,,,,,,,,,,,,
Aug-10,,,,,,,,,,,,,,
Sep-10,,,,,,,,,,,,,,
Oct-10,,,,,,,,,,,,,,
Nov-10,,,,,,,,,,,,,,
Dec-10,,,,,,,,,,,,,,
Jan-11,,117,48,99,,0,0,0,,64,,119,43,119
Feb-11,,,58,155,,30,18,56,,140,,185,56,168
Mar-11,,213,76,190,,41,13,46,,160,,226,74,208
Apr-11,,,28,99,,0,0,0,,0,,135,41,147
May-11,,,,,,,,,,,,,,
Jun-11,,,,,,,,,,,,,,
Jul-11,,,,,,,,,,,,,,
Aug-11,,,,,,,,,,,,,,
Sep-11,,,,,,,,,,,,,,
Oct-11,,,,,,,,,,,,,,
Nov-11,,,,,,,,,,,,,,
Dec-11,,,,,,,,,,,,,,
Jan-12,23,51,43,86,18,30,15,36,20,30,33,61,,
Feb-12,48,109,53,132,13,25,10,18,28,56,46,102,56,119
Mar-12,71,173,74,173,3,8,10,20,48,112,74,175,61,188
Apr-12,,,23,66,0,0,0,0,0,0,18,56,38,114
May-12,,,,,,,,,,,,,,
Jun-12,,,,,,,,,,,,,,
Jul-12,,,,,,,,,,,,,,
Aug-12,,,,,,,,,,,,,,
Sep-12,,,,,,,,,,,,,,
Oct-12,,,,,,,,,,,,,,
Nov-12,,,,,,,,,,,,,,
Dec-12,,,,,,,,,,,,,,
Jan-13,56,102,43,76,30,56,30,56,56,89,69,114,43,94
Feb-13,81,196,71,163,23,58,28,71,38,127,66,175,79,185
Mar-13,86,264,81,234,28,84,25,91,76,249,97,310,89,262
Apr-13,36,147,33,119,0,0,0,0,20,64,46,193,33,124
May-13,,,,,,,,,,,,,,
Jun-13,,,,,,,,,,,,,,
Jul-13,,,,,,,,,,,,,,
Aug-13,,,,,,,,,,,,,,
Sep-13,,,,,,,,,,,,,,
Oct-13,,,,,,,,,,,,,,
Nov-13,,,,,,,,,,,,,,
Dec-13,,,,,,,,,,,,,,
Jan-14,,,33,69,18,33,13,30,28,58,38,91,38,91
Feb-14,20,56,25,56,5,10,0,0,25,58,30,76,28,71
Mar-14,30,84,25,69,0,0,0,0,10,28,36,117,30,84
Apr-14,10,30,10,23,0,0,0,0,0,0,15,41,18,58
May-14,,,,,,,,,,,,,,
Jun-14,,,,,,,,,,,,,,
Jul-14,,,,,,,,,,,,,,
Aug-14,,,,,,,,,,,,,,
Sep-14,,,,,,,,,,,,,,
Oct-14,,,,,,,,,,,,,,
Nov-14,,,,,,,,,,,,,,
Dec-14,,,,,,,,,,,,,,
Jan-15,3,33,25,41,13,20,5,8,13,23,25,38,25,48
Feb-15,28,66,41,81,13,41,8,23,18,56,36,91,38,91
Mar-15,46,99,64,114,10,10,25,28,23,38,53,114,43,122
Apr-15,0,0,38,104,0,0,0,0,0,0,20,58,10,30
May-15,,,,,,,,,,,,,,
Jun-15,,,,,,,,,,,,,,
Jul-15,,,,,,,,,,,,,,
Aug-15,,,,,,,,,,,,,,
Sep-15,,,,,,,,,,,,,,
Oct-15,,,,,,,,,,,,,,
Nov-15,,,,,,,,,,,,,,
Dec-15,,,,,,,,,,,,,,
Jan-16,66,160,56,124,20,43,20,46,43,86,66,147,58,127
