Day,WY,month,discharge_cfps,wy_date,E_day,r_day,dishcarge_cmps
19,2016,FEB,6.6,2016-02-19,NA,NA,0.18689118750719994
19,2016,MAR,6.3,2016-03-19,NA,NA,0.17839613352959996
19,2016,APR,4.2,2016-04-19,NA,NA,0.11893075568639998
19,2016,MAY,1,2016-05-19,NA,NA,0.028316846591999994
19,2016,JUN,1.9,2016-06-19,NA,NA,0.05380200852479998
19,2016,JUL,0.96,2016-07-19,NA,NA,0.027184172728319994
19,2016,AUG,1.9,2016-08-19,NA,NA,0.05380200852479998
19,2016,SEP,2.3,2016-09-19,NA,NA,0.06512874716159997
20,2016,OCT,1.7,2016-10-20,NA,NA,0.048138639206399984
20,2016,NOV,2.4,2016-11-20,NA,NA,0.06796043182079999
20,2016,DEC,1.9,2016-12-20,NA,NA,0.05380200852479998
20,2016,JAN,1.5,2016-01-20,NA,NA,0.04247526988799999
20,2016,FEB,7.9,2016-02-20,NA,NA,0.22370308807679995
20,2016,MAR,5.9,2016-03-20,NA,NA,0.16706939489279998
20,2016,APR,3.6,2016-04-20,NA,NA,0.10194064773119997
20,2016,MAY,1.3,2016-05-20,NA,NA,0.036811900569599994
20,2016,JUN,1.2,2016-06-20,NA,NA,0.03398021591039999
20,2016,JUL,0.74,2016-07-20,NA,NA,0.020954466478079994
20,2016,AUG,2.6,2016-08-20,NA,NA,0.07362380113919999
20,2016,SEP,3.3,2016-09-20,NA,NA,0.09344559375359997
21,2016,OCT,2,2016-10-21,NA,NA,0.05663369318399999
21,2016,NOV,2.6,2016-11-21,NA,NA,0.07362380113919999
21,2016,DEC,1.4,2016-12-21,NA,NA,0.03964358522879999
21,2016,JAN,1.5,2016-01-21,NA,NA,0.04247526988799999
21,2016,FEB,9.8,2016-02-21,NA,NA,0.2775050966016
21,2016,MAR,5.8,2016-03-21,NA,NA,0.16423771023359995
21,2016,APR,3.3,2016-04-21,NA,NA,0.09344559375359997
21,2016,MAY,1.4,2016-05-21,NA,NA,0.03964358522879999
21,2016,JUN,1.4,2016-06-21,NA,NA,0.03964358522879999
21,2016,JUL,1.1,2016-07-21,NA,NA,0.031148531251199995
21,2016,AUG,2,2016-08-21,NA,NA,0.05663369318399999
21,2016,SEP,3.4,2016-09-21,NA,NA,0.09627727841279997
22,2016,OCT,1.8,2016-10-22,NA,NA,0.050970323865599985
22,2016,NOV,2.8,2016-11-22,NA,NA,0.07928717045759998
22,2016,DEC,1.3,2016-12-22,NA,NA,0.036811900569599994
22,2016,JAN,1.6,2016-01-22,NA,NA,0.0453069545472
22,2016,FEB,9.4,2016-02-22,NA,NA,0.26617835796479994
22,2016,MAR,5.8,2016-03-22,NA,NA,0.16423771023359995
22,2016,APR,3.1,2016-04-22,NA,NA,0.08778222443519998
22,2016,MAY,1.6,2016-05-22,NA,NA,0.0453069545472
22,2016,JUN,1.1,2016-06-22,NA,NA,0.031148531251199995
22,2016,JUL,0.69,2016-07-22,NA,NA,0.019538624148479993
22,2016,AUG,2.7,2016-08-22,NA,NA,0.07645548579839999
22,2016,SEP,2.4,2016-09-22,NA,NA,0.06796043182079999
23,2016,OCT,1.8,2016-10-23,NA,NA,0.050970323865599985
23,2016,NOV,2.4,2016-11-23,NA,NA,0.06796043182079999
23,2016,DEC,1.3,2016-12-23,NA,NA,0.036811900569599994
23,2016,JAN,1.6,2016-01-23,NA,NA,0.0453069545472
23,2016,FEB,9.9,2016-02-23,NA,NA,0.2803367812607999
23,2016,MAR,5.3,2016-03-23,NA,NA,0.15007928693759998
23,2016,APR,2.7,2016-04-23,NA,NA,0.07645548579839999
23,2016,MAY,2,2016-05-23,NA,NA,0.05663369318399999
23,2016,JUN,1.1,2016-06-23,NA,NA,0.031148531251199995
23,2016,JUL,1.1,2016-07-23,NA,NA,0.031148531251199995
23,2016,AUG,2.5,2016-08-23,NA,NA,0.07079211647999997
23,2016,SEP,1.3,2016-09-23,NA,NA,0.036811900569599994
24,2016,OCT,1.7,2016-10-24,NA,NA,0.048138639206399984
24,2016,NOV,1.9,2016-11-24,NA,NA,0.05380200852479998
24,2016,DEC,1.3,2016-12-24,NA,NA,0.036811900569599994
24,2016,JAN,1.5,2016-01-24,NA,NA,0.04247526988799999
24,2016,FEB,10,2016-02-24,NA,NA,0.2831684659199999
24,2016,MAR,5.5,2016-03-24,NA,NA,0.15574265625599995
24,2016,APR,2.4,2016-04-24,NA,NA,0.06796043182079999
24,2016,MAY,2.8,2016-05-24,NA,NA,0.07928717045759998
24,2016,JUN,0.94,2016-06-24,NA,NA,0.026617835796479992
24,2016,JUL,1.1,2016-07-24,NA,NA,0.031148531251199995
24,2016,AUG,3.1,2016-08-24,NA,NA,0.08778222443519998
24,2016,SEP,0.71,2016-09-24,NA,NA,0.020104961080319995
